Date,Weekly_Sales,Store,Temperature,CPI,Unemployment
2011-08-05,1624383.75,1,91.65,215.544618,7.962
2011-08-12,1525147.09,1,90.76,215.6057878,7.962
2011-08-19,1530761.43,1,89.94,215.6693107,7.962
2011-08-26,1464693.46,1,87.96,215.7332258,7.962
2011-09-02,1550229.22,1,87.83,215.7971409,7.962
2011-09-09,1540471.24,1,76.0,215.861056,7.962
2011-09-16,1514259.78,1,79.94,216.0410526,7.962
2011-09-23,1380020.27,1,75.8,216.3758246,7.962
2011-09-30,1394561.83,1,79.69,216.7105965,7.962
2011-10-07,1630989.95,1,69.31,217.0453684,7.866
2011-10-14,1493525.93,1,71.74,217.3552733,7.866
2011-10-21,1502562.78,1,63.71,217.5159762,7.866
2011-10-28,1445249.09,1,66.57,217.6766791,7.866
2011-11-04,1697229.58,1,54.98,217.837382,7.866
2011-11-11,1594938.89,1,59.11,217.9980849,7.866
2011-11-18,1539483.7,1,62.25,218.2205088,7.866
2011-11-25,2033320.66,1,60.14,218.4676211,7.866
2011-12-02,1584083.95,1,48.91,218.7147333,7.866
2011-12-09,1799682.38,1,43.93,218.9618456,7.866
2011-12-16,1881176.67,1,51.63,219.1794533,7.866
2011-12-23,2270188.99,1,47.96,219.3577216,7.866
2011-12-30,1497462.72,1,44.55,219.5359898,7.866
2012-01-06,1550369.92,1,49.01,219.7142581,7.348
2012-01-13,1459601.17,1,48.53,219.8925263,7.348
2012-01-20,1394393.84,1,54.11,219.9856893,7.348
2012-01-27,1319325.59,1,54.26,220.0788523,7.348
2012-02-03,1636339.65,1,56.55,220.1720153,7.348
2012-02-10,1802477.43,1,48.02,220.2651783,7.348
2012-02-17,1819870.0,1,45.32,220.4257586,7.348
2012-02-24,1539387.83,1,57.25,220.636902,7.348
2012-03-02,1688420.76,1,60.96,220.8480454,7.348
2012-03-09,1675431.16,1,58.76,221.0591887,7.348
2012-03-16,1677472.78,1,64.74,221.2118132,7.348
2012-03-23,1511068.07,1,65.93,221.2864126,7.348
2012-03-30,1649604.63,1,67.61,221.3610119,7.348
2012-04-06,1899676.88,1,70.43,221.4356112,7.143
2012-04-13,1621031.7,1,69.07,221.5102105,7.143
2012-04-20,1521577.87,1,66.76,221.5640737,7.143
2012-04-27,1468928.37,1,67.23,221.6179368,7.143
2012-05-04,1684519.99,1,75.55,221.6718,7.143
2012-05-11,1611096.05,1,73.77,221.7256632,7.143
2012-05-18,1595901.87,1,70.33,221.742674,7.143
2012-05-25,1555444.55,1,77.22,221.744944,7.143
2012-06-01,1624477.58,1,77.95,221.7472139,7.143
2012-06-08,1697230.96,1,78.3,221.7494839,7.143
2012-06-15,1630607.0,1,79.35,221.7626421,7.143
2012-06-22,1527845.81,1,78.39,221.8030211,7.143
2012-06-29,1540421.49,1,84.88,221.8434,7.143
2012-07-06,1769854.16,1,81.57,221.8837789,6.908
2012-07-13,1527014.04,1,77.12,221.9241579,6.908
2012-07-20,1497954.76,1,80.42,221.9327267,6.908
2012-07-27,1439123.71,1,82.66,221.9412954,6.908
2012-08-03,1631135.79,1,86.11,221.9498642,6.908
2012-08-10,1592409.97,1,85.05,221.9584329,6.908
2012-08-17,1597868.05,1,84.85,222.0384109,6.908
2012-08-24,1494122.38,1,77.66,222.1719457,6.908
2012-08-31,1582083.4,1,80.49,222.3054805,6.908
2012-09-07,1661767.33,1,83.96,222.4390153,6.908
2012-09-14,1517428.87,1,74.97,222.5820193,6.908
2012-09-21,1506126.06,1,69.87,222.7818386,6.908
2012-09-28,1437059.26,1,76.08,222.9816579,6.908
2012-10-05,1670785.97,1,68.55,223.1814772,6.573
2012-10-12,1573072.81,1,62.99,223.3812965,6.573
2012-10-19,1508068.77,1,67.97,223.4257233,6.573
2012-10-26,1493659.74,1,69.16,223.4442513,6.573
2010-02-05,2136989.46,2,40.19,210.7526053,8.324
2010-02-12,2137809.5,2,38.49,210.8979935,8.324
2010-02-19,2124451.54,2,39.69,210.9451605,8.324
2010-02-26,1865097.27,2,46.1,210.9759573,8.324
2010-03-05,1991013.13,2,47.17,211.0067542,8.324
2010-03-12,1990483.78,2,57.56,211.037551,8.324
2010-03-19,1946070.88,2,54.52,210.8733316,8.324
2010-03-26,1750197.81,2,51.26,210.6766095,8.324
2010-04-02,2066187.72,2,63.27,210.4798874,8.2
2010-04-09,1954689.21,2,65.41,210.2831653,8.2
2010-04-16,1874957.94,2,68.07,210.1495463,8.2
2010-04-23,1821990.93,2,65.11,210.1000648,8.2
2010-04-30,1802450.29,2,66.98,210.0505833,8.2
2010-05-07,2042581.71,2,71.28,210.0011018,8.2
2010-05-14,1880752.36,2,73.31,209.9984585,8.2
2010-05-21,1896937.1,2,74.83,210.2768443,8.2
2010-05-28,1957113.89,2,81.13,210.5552301,8.2
2010-06-04,2102539.93,2,81.81,210.833616,8.2
2010-06-11,2025538.76,2,83.4,211.1120018,8.2
2010-06-18,2001636.96,2,85.81,211.1096543,8.2
2010-06-25,1939927.09,2,86.26,210.9950134,8.2
2010-07-02,2003940.64,2,82.74,210.8803726,8.099
2010-07-09,1880902.62,2,82.59,210.7657317,8.099
2010-07-16,1845879.79,2,85.32,210.7577954,8.099
2010-07-23,1781717.71,2,87.66,210.8921319,8.099
2010-07-30,1804246.16,2,83.49,211.0264684,8.099
2010-08-06,1991909.98,2,89.53,211.1608049,8.099
2010-08-13,1895601.05,2,89.05,211.2951413,8.099
2010-08-20,1964335.23,2,88.7,211.2596586,8.099
2010-08-27,1863840.49,2,87.12,211.2241759,8.099
2010-09-03,1904608.09,2,81.83,211.1886931,8.099
2010-09-10,1839128.83,2,79.09,211.1532104,8.099
2010-09-17,1793903.6,2,82.05,211.1806415,8.099
2010-09-24,1724557.22,2,81.79,211.2552578,8.099
2010-10-01,1827440.43,2,69.24,211.3298742,8.163
2010-10-08,1849921.44,2,63.19,211.4044906,8.163
2010-10-15,1794355.49,2,65.8,211.4713286,8.163
2010-10-22,1737947.64,2,68.5,211.5187208,8.163
2010-10-29,1802755.11,2,66.24,211.5661131,8.163
2010-11-05,1939061.41,2,57.85,211.6135053,8.163
2010-11-12,1916812.74,2,59.69,211.6608975,8.163
2010-11-19,1956739.17,2,50.81,211.5470304,8.163
2010-11-26,2658725.29,2,62.98,211.4062867,8.163
2010-12-03,2015781.27,2,49.33,211.265543,8.163
2010-12-10,2378726.55,2,45.5,211.1247993,8.163
2010-12-17,2609166.75,2,47.55,211.0645458,8.163
2010-12-24,2720371.4924999997,2,49.97,211.0646599,8.163
2010-12-31,1750434.55,2,47.3,211.064774,8.163
2011-01-07,1758050.79,2,44.69,211.0648881,8.028
2011-01-14,1744193.58,2,33.02,211.1176713,8.028
2011-01-21,1751384.9,2,41.4,211.4864691,8.028
2011-01-28,1695371.68,2,42.83,211.8552668,8.028
2011-02-04,1929346.23,2,38.25,212.2240646,8.028
2011-02-11,2168041.61,2,33.19,212.5928624,8.028
2011-02-18,2080884.82,2,57.83,212.9033115,8.028
2011-02-25,1833511.08,2,60.8,213.190421,8.028
2011-03-04,1981607.78,2,57.77,213.4775305,8.028
2011-03-11,1879107.31,2,52.7,213.7646401,8.028
2011-03-18,1902557.66,2,62.32,214.0156238,8.028
2011-03-25,1766162.05,2,69.42,214.2521573,8.028
2011-04-01,1800171.36,2,55.43,214.4886908,7.931
2011-04-08,1847552.61,2,67.0,214.7252242,7.931
2011-04-15,1856467.84,2,69.48,214.9420631,7.931
2011-04-22,1886339.6,2,69.39,215.1096657,7.931
2011-04-29,1745545.28,2,69.21,215.2772683,7.931
2011-05-06,1837743.6,2,61.48,215.4448709,7.931
2011-05-13,1838513.07,2,74.61,215.6124735,7.931
2011-05-20,1688281.86,2,67.14,215.3834778,7.931
2011-05-27,1797732.56,2,76.42,215.1544822,7.931
2011-06-03,1933756.21,2,83.07,214.9254865,7.931
2011-06-10,1929153.16,2,83.4,214.6964908,7.931
2011-06-17,1953771.99,2,86.53,214.6513538,7.931
2011-06-24,1790925.8,2,85.17,214.7441108,7.931
2011-07-01,1866243.0,2,85.69,214.8368678,7.852
2011-07-08,1853161.99,2,87.7,214.9296249,7.852
2011-07-15,1785187.29,2,89.83,215.0134426,7.852
2011-07-22,1743816.41,2,89.34,215.0749122,7.852
2011-07-29,1680693.06,2,90.07,215.1363819,7.852
2011-08-05,1876704.26,2,93.34,215.1978515,7.852
2011-08-12,1812768.26,2,91.58,215.2593211,7.852
2011-08-19,1844094.59,2,89.86,215.3229307,7.852
2011-08-26,1821139.91,2,90.45,215.386897,7.852
2011-09-02,1809119.7,2,89.64,215.4508632,7.852
2011-09-09,1748000.65,2,77.97,215.5148295,7.852
2011-09-16,1691439.52,2,78.85,215.6944378,7.852
2011-09-23,1669299.78,2,75.58,216.0282356,7.852
2011-09-30,1650394.44,2,78.14,216.3620333,7.852
2011-10-07,1837553.43,2,69.92,216.6958311,7.441
2011-10-14,1743882.19,2,71.67,217.0048261,7.441
2011-10-21,1834680.25,2,64.53,217.1650042,7.441
2011-10-28,1769296.25,2,65.87,217.3251824,7.441
2011-11-04,1959707.9,2,55.53,217.4853605,7.441
2011-11-11,1920725.15,2,59.33,217.6455387,7.441
2011-11-18,1902762.5,2,62.01,217.8670218,7.441
2011-11-25,2614202.3,2,56.36,218.1130269,7.441
2011-12-02,1954952.0,2,48.74,218.3590319,7.441
2011-12-09,2290549.32,2,41.76,218.605037,7.441
2011-12-16,2432736.52,2,50.13,218.8217928,7.441
2011-12-23,2720371.4924999997,2,46.66,218.9995495,7.441
2011-12-30,1874226.52,2,44.57,219.1773063,7.441
2012-01-06,1799520.14,2,46.75,219.355063,7.057
2012-01-13,1744725.48,2,45.99,219.5328198,7.057
2012-01-20,1711769.11,2,51.7,219.6258417,7.057
2012-01-27,1660906.14,2,50.5,219.7188636,7.057
2012-02-03,1935299.94,2,55.21,219.8118854,7.057
2012-02-10,2103322.68,2,46.98,219.9049073,7.057
2012-02-17,2196688.46,2,43.82,220.0651993,7.057
2012-02-24,1861802.7,2,54.63,220.275944,7.057
2012-03-02,1952555.66,2,58.79,220.4866886,7.057
2012-03-09,1937628.26,2,57.11,220.6974332,7.057
2012-03-16,1976082.13,2,63.68,220.8498468,7.057
2012-03-23,1790439.16,2,64.01,220.9244858,7.057
2012-03-30,1857480.84,2,66.83,220.9991248,7.057
2012-04-06,2129035.91,2,68.43,221.0737638,6.891
2012-04-13,1935869.1,2,68.08,221.1484028,6.891
2012-04-20,1847344.45,2,65.69,221.2021074,6.891
2012-04-27,1764133.09,2,67.2,221.255812,6.891
2012-05-04,1923957.09,2,76.73,221.3095166,6.891
2012-05-11,1917520.99,2,73.87,221.3632212,6.891
2012-05-18,2000940.67,2,71.27,221.380331,6.891
2012-05-25,1912791.09,2,78.19,221.3828029,6.891
2012-06-01,1910092.37,2,78.38,221.3852748,6.891
2012-06-08,2010216.49,2,78.69,221.3877467,6.891
2012-06-15,1962924.3,2,80.56,221.4009901,6.891
2012-06-22,1887733.21,2,81.04,221.4411622,6.891
2012-06-29,1881046.12,2,86.32,221.4813343,6.891
2012-07-06,2041507.4,2,84.2,221.5215064,6.565
2012-07-13,1830075.13,2,80.17,221.5616784,6.565
2012-07-20,1819666.46,2,83.23,221.5701123,6.565
2012-07-27,1757923.88,2,86.37,221.5785461,6.565
2012-08-03,1946104.64,2,90.22,221.5869799,6.565
2012-08-10,1866719.96,2,88.55,221.5954138,6.565
2012-08-17,1928016.01,2,84.79,221.6751459,6.565
2012-08-24,1876788.15,2,76.91,221.8083518,6.565
2012-08-31,1947083.3,2,82.64,221.9415576,6.565
2012-09-07,1898777.07,2,87.65,222.0747635,6.565
2012-09-14,1814806.63,2,75.88,222.2174395,6.565
2012-09-21,1829415.67,2,71.09,222.4169362,6.565
2012-09-28,1746470.56,2,79.45,222.6164329,6.565
2012-10-05,1998321.04,2,70.27,222.8159296,6.17
2012-10-12,1900745.13,2,60.97,223.0154263,6.17
2012-10-19,1847990.41,2,68.08,223.0598077,6.17
2012-10-26,1834458.35,2,69.79,223.0783366,6.17
2010-02-05,461622.22,3,45.71,214.4248812,7.368
2010-02-12,420728.96,3,47.93,214.5747916,7.368
2010-02-19,421642.19,3,47.07,214.6198868,7.368
2010-02-26,407204.86,3,52.05,214.6475127,7.368
2010-03-05,415202.04,3,53.04,214.6751386,7.368
2010-03-12,384200.69,3,63.08,214.7027646,7.368
2010-03-19,375328.59,3,60.42,214.5301219,7.368
2010-03-26,359949.27,3,57.06,214.3241011,7.368
2010-04-02,423294.4,3,65.56,214.1180803,7.343
2010-04-09,415870.28,3,68.0,213.9120595,7.343
2010-04-16,354993.26,3,66.98,213.7726889,7.343
2010-04-23,339976.65,3,67.87,213.7221852,7.343
2010-04-30,361248.39,3,70.24,213.6716815,7.343
2010-05-07,399323.86,3,73.47,213.6211778,7.343
2010-05-14,384357.94,3,77.18,213.6196139,7.343
2010-05-21,343763.17,3,75.81,213.9116886,7.343
2010-05-28,350089.23,3,78.6,214.2037634,7.343
2010-06-04,396968.8,3,78.53,214.4958382,7.343
2010-06-11,355017.09,3,82.1,214.787913,7.343
2010-06-18,364076.85,3,83.52,214.7858259,7.343
2010-06-25,357346.48,3,83.79,214.6660741,7.343
2010-07-02,381151.72,3,82.2,214.5463222,7.346
2010-07-09,349214.18,3,81.75,214.4265704,7.346
2010-07-16,352728.78,3,84.32,214.4176476,7.346
2010-07-23,352864.49,3,83.32,214.5564968,7.346
2010-07-30,347955.05,3,82.04,214.695346,7.346
2010-08-06,402635.76,3,85.13,214.8341952,7.346
2010-08-13,339597.38,3,86.74,214.9730444,7.346
2010-08-20,351728.21,3,88.02,214.9314191,7.346
2010-08-27,362134.09,3,86.15,214.8897938,7.346
2010-09-03,366473.97,3,84.16,214.8481685,7.346
2010-09-10,352260.97,3,80.84,214.8065431,7.346
2010-09-17,363064.64,3,82.36,214.8322484,7.346
2010-09-24,355626.87,3,76.9,214.9084516,7.346
2010-10-01,358784.1,3,73.6,214.9846548,7.564
2010-10-08,395107.35,3,66.99,215.060858,7.564
2010-10-15,345584.39,3,69.71,215.1293114,7.564
2010-10-22,348895.98,3,71.64,215.17839,7.564
2010-10-29,348591.74,3,72.04,215.2274686,7.564
2010-11-05,423175.56,3,62.94,215.2765472,7.564
2010-11-12,386635.03,3,62.79,215.3256258,7.564
2010-11-19,372545.32,3,57.72,215.2074519,7.564
2010-11-26,565567.84,3,68.71,215.0614025,7.564
2010-12-03,476420.77,3,53.76,214.9153531,7.564
2010-12-10,467642.03,3,51.13,214.7693037,7.564
2010-12-17,498159.39,3,52.2,214.704919,7.564
2010-12-24,605990.41,3,57.16,214.7017828,7.564
2010-12-31,382677.76,3,53.2,214.6986466,7.564
2011-01-07,378241.34,3,53.35,214.6955104,7.551
2011-01-14,381061.1,3,44.76,214.7470729,7.551
2011-01-21,350876.7,3,50.74,215.1268275,7.551
2011-01-28,364866.24,3,48.71,215.5065821,7.551
2011-02-04,438516.53,3,45.95,215.8863367,7.551
2011-02-11,430526.21,3,43.57,216.2660913,7.551
2011-02-18,432782.1,3,61.58,216.5843571,7.551
2011-02-25,397211.19,3,67.4,216.8780275,7.551
2011-03-04,437084.51,3,65.11,217.1716979,7.551
2011-03-11,404753.3,3,61.29,217.4653683,7.551
2011-03-18,392109.51,3,69.47,217.7235226,7.551
2011-03-25,380683.67,3,72.94,217.9674705,7.551
2011-04-01,374556.08,3,68.76,218.2114184,7.574
2011-04-08,384075.31,3,72.55,218.4553663,7.574
2011-04-15,366250.69,3,75.88,218.6788642,7.574
2011-04-22,391860.04,3,76.91,218.851237,7.574
2011-04-29,367405.4,3,78.69,219.0236099,7.574
2011-05-06,413042.12,3,69.45,219.1959827,7.574
2011-05-13,386312.68,3,79.87,219.3683556,7.574
2011-05-20,364603.13,3,75.79,219.127216,7.574
2011-05-27,369350.6,3,84.41,218.8860765,7.574
2011-06-03,394507.84,3,84.29,218.6449369,7.574
2011-06-10,391638.75,3,84.84,218.4037974,7.574
2011-06-17,403423.34,3,86.96,218.3551748,7.574
2011-06-24,385520.71,3,84.94,218.45094,7.574
2011-07-01,368962.72,3,85.1,218.5467052,7.567
2011-07-08,395146.24,3,85.38,218.6424704,7.567
2011-07-15,373454.33,3,87.14,218.7275216,7.567
2011-07-22,360617.37,3,86.19,218.7857881,7.567
2011-07-29,345381.29,3,88.07,218.8440545,7.567
2011-08-05,409981.25,3,88.45,218.9023209,7.567
2011-08-12,380376.85,3,88.88,218.9605873,7.567
2011-08-19,379716.91,3,88.44,219.023271,7.567
2011-08-26,366367.55,3,87.67,219.0866908,7.567
2011-09-02,375988.69,3,89.12,219.1501106,7.567
2011-09-09,377347.49,3,81.72,219.2135305,7.567
2011-09-16,375629.51,3,83.63,219.3972867,7.567
2011-09-23,365248.94,3,80.19,219.7414914,7.567
2011-09-30,368477.93,3,82.58,220.085696,7.567
2011-10-07,403342.4,3,75.54,220.4299007,7.197
2011-10-14,368282.57,3,73.75,220.7486167,7.197
2011-10-21,394976.36,3,69.03,220.9144005,7.197
2011-10-28,389540.62,3,71.04,221.0801842,7.197
2011-11-04,459443.22,3,59.31,221.245968,7.197
2011-11-11,407764.25,3,61.7,221.4117517,7.197
2011-11-18,398838.97,3,63.91,221.6432852,7.197
2011-11-25,556925.19,3,68.0,221.9011185,7.197
2011-12-02,472511.32,3,54.97,222.1589519,7.197
2011-12-09,468772.8,3,49.26,222.4167852,7.197
2011-12-16,510747.62,3,57.95,222.6426418,7.197
2011-12-23,551221.21,3,53.41,222.8258628,7.197
2011-12-30,410553.88,3,48.29,223.0090839,7.197
2012-01-06,398178.21,3,52.42,223.1923049,6.833
2012-01-13,367438.62,3,51.86,223.3755259,6.833
2012-01-20,365818.61,3,56.2,223.4700552,6.833
2012-01-27,349518.1,3,58.06,223.5645845,6.833
2012-02-03,424960.66,3,59.33,223.6591137,6.833
2012-02-10,473292.47,3,51.65,223.753643,6.833
2012-02-17,475591.08,3,52.39,223.9170153,6.833
2012-02-24,418925.47,3,60.12,224.1320199,6.833
2012-03-02,469752.56,3,61.65,224.3470245,6.833
2012-03-09,445162.05,3,60.71,224.5620291,6.833
2012-03-16,411775.8,3,64.0,224.7166953,6.833
2012-03-23,413907.25,3,66.53,224.7909104,6.833
2012-03-30,407488.84,3,69.36,224.8651254,6.833
2012-04-06,503232.13,3,73.01,224.9393405,6.664
2012-04-13,420789.74,3,72.83,225.0135556,6.664
2012-04-20,434822.13,3,72.05,225.0689541,6.664
2012-04-27,394616.11,3,73.39,225.1243526,6.664
2012-05-04,439913.57,3,79.51,225.1797511,6.664
2012-05-11,431985.36,3,75.19,225.2351496,6.664
2012-05-18,418112.76,3,72.38,225.2512024,6.664
2012-05-25,413701.29,3,78.58,225.2515168,6.664
2012-06-01,432268.53,3,81.55,225.2518313,6.664
2012-06-08,446336.8,3,81.65,225.2521458,6.664
2012-06-15,442074.79,3,84.66,225.2644795,6.664
2012-06-22,419497.95,3,82.7,225.3068615,6.664
2012-06-29,422965.33,3,86.42,225.3492435,6.664
2012-07-06,411206.5,3,83.14,225.3916254,6.334
2012-07-13,416913.1,3,82.28,225.4340074,6.334
2012-07-20,432424.85,3,81.38,225.4438827,6.334
2012-07-27,389427.9,3,84.94,225.4537579,6.334
2012-08-03,419990.29,3,86.55,225.4636332,6.334
2012-08-10,391811.6,3,85.85,225.4735085,6.334
2012-08-17,394918.83,3,87.36,225.5558664,6.334
2012-08-24,412449.67,3,83.01,225.6925864,6.334
2012-08-31,408838.73,3,85.18,225.8293063,6.334
2012-09-07,408229.73,3,84.99,225.9660263,6.334
2012-09-14,407589.16,3,78.36,226.1122067,6.334
2012-09-21,414392.09,3,72.78,226.3151496,6.334
2012-09-28,389813.02,3,77.46,226.5180926,6.334
2012-10-05,443557.65,3,72.74,226.7210356,6.034
2012-10-12,410804.39,3,70.31,226.9239785,6.034
2012-10-19,424513.08,3,73.44,226.9688442,6.034
2012-10-26,405432.7,3,74.66,226.9873637,6.034
2010-02-05,2135143.87,4,43.76,126.4420645,8.623
2010-02-12,2188307.39,4,28.84,126.4962581,8.623
2010-02-19,2049860.26,4,36.45,126.5262857,8.623
2010-02-26,1925728.84,4,41.36,126.5522857,8.623
2010-03-05,1971057.44,4,43.49,126.5782857,8.623
2010-03-12,1894324.09,4,49.63,126.6042857,8.623
2010-03-19,1897429.36,4,55.19,126.6066452,8.623
2010-03-26,1762539.3,4,39.91,126.6050645,8.623
2010-04-02,1979247.12,4,48.77,126.6034839,7.896
2010-04-09,1818452.72,4,54.16,126.6019032,7.896
2010-04-16,1851519.69,4,56.23,126.5621,7.896
2010-04-23,1802677.9,4,56.87,126.4713333,7.896
2010-04-30,1817273.28,4,53.04,126.3805667,7.896
2010-05-07,2000626.14,4,56.77,126.2898,7.896
2010-05-14,1875597.28,4,62.35,126.2085484,7.896
2010-05-21,1903752.6,4,67.4,126.1843871,7.896
2010-05-28,1857533.7,4,67.73,126.1602258,7.896
2010-06-04,1903290.58,4,70.83,126.1360645,7.896
2010-06-11,1870619.23,4,78.45,126.1119032,7.896
2010-06-18,1929736.35,4,81.53,126.114,7.896
2010-06-25,1846651.95,4,81.1,126.1266,7.896
2010-07-02,1881337.21,4,73.66,126.1392,7.372
2010-07-09,1812208.22,4,80.35,126.1518,7.372
2010-07-16,1898427.66,4,78.53,126.1498065,7.372
2010-07-23,1848426.78,4,79.78,126.1283548,7.372
2010-07-30,1796637.61,4,80.7,126.1069032,7.372
2010-08-06,1907638.58,4,76.53,126.0854516,7.372
2010-08-13,2007050.75,4,78.08,126.064,7.372
2010-08-20,1997181.09,4,78.83,126.0766452,7.372
2010-08-27,1848403.92,4,74.44,126.0892903,7.372
2010-09-03,1935857.58,4,76.8,126.1019355,7.372
2010-09-10,1865820.81,4,73.54,126.1145806,7.372
2010-09-17,1899959.61,4,64.91,126.1454667,7.372
2010-09-24,1810684.68,4,60.96,126.1900333,7.372
2010-10-01,1842821.02,4,63.96,126.2346,7.127
2010-10-08,1951494.85,4,67.73,126.2791667,7.127
2010-10-15,1867345.09,4,62.03,126.3266774,7.127
2010-10-22,1927610.06,4,64.17,126.3815484,7.127
2010-10-29,1933333.0,4,56.94,126.4364194,7.127
2010-11-05,2013115.79,4,51.6,126.4912903,7.127
2010-11-12,1999794.26,4,52.65,126.5461613,7.127
2010-11-19,2097809.4,4,48.05,126.6072,7.127
2010-11-26,2720371.4924999997,4,48.08,126.6692667,7.127
2010-12-03,2102530.17,4,46.4,126.7313333,7.127
2010-12-10,2302504.86,4,42.4,126.7934,7.127
2010-12-17,2720371.4924999997,4,46.57,126.8794839,7.127
2010-12-24,2720371.4924999997,4,43.21,126.9835806,7.127
2010-12-31,1794868.74,4,38.09,127.0876774,7.127
2011-01-07,1862476.27,4,39.34,127.1917742,6.51
2011-01-14,1865502.46,4,31.6,127.3009355,6.51
2011-01-21,1886393.94,4,38.34,127.4404839,6.51
2011-01-28,1814240.85,4,40.6,127.5800323,6.51
2011-02-04,2119086.04,4,34.61,127.7195806,6.51
2011-02-11,2187847.29,4,33.29,127.859129,6.51
2011-02-18,2316495.56,4,48.17,127.99525,6.51
2011-02-25,2078094.69,4,49.0,128.13,6.51
2011-03-04,2103455.75,4,46.56,128.26475,6.51
2011-03-11,2039818.41,4,50.93,128.3995,6.51
